34203.800013137,4,5980703,200,310000,-1
34203.800013137,4,5980704,130,310000,-1
34203.800013137,4,5980708,150,310000,-1
34203.800013137,4,5980709,128,310000,-1
34203.811535468,1,16603416,499,310000,-1
34203.895973687,3,5980709,74,310000,-1
34203.896086767,3,5980710,1000,310000,-1
34203.909030862,1,16613317,575,310000,-1
34204.052740474,3,16597334,3000,309900,1
34204.267880787,4,16597374,100,309900,1
34204.267976992,1,16648137,3000,310000,-1
34204.268543927,1,16648205,300,309900,1
34204.268623239,1,16648212,3000,309900,1
34204.268639687,1,16648216,100,309900,1
34204.268678595,1,16648225,300,309900,1
34204.273165999,1,16648822,100,309900,1
34204.273196928,1,16648824,500,309900,1
34204.275191936,4,16648205,300,309900,1
34204.408999416,4,5980712,1000,310000,-1
34204.408999416,4,6016695,216,310000,-1
34204.408999416,4,8589322,4184,310000,-1
34204.411183071,4,16648212,2076,309900,1
34204.451755053,4,8589322,1316,310000,-1
34204.451755053,4,9940243,984,310000,-1
34204.51931924,3,16648216,100,309900,1
34204.55797185,4,9940243,1016,310000,-1
34204.55797185,4,10030243,184,310000,-1
34204.587224715,3,16648137,3000,310000,-1
34204.587225382,3,16648212,924,309900,1
34204.76387733,4,16648225,300,309900,1
34204.76387733,4,16648822,100,309900,1
34204.76387733,4,16648824,100,309900,1
34204.769303272,4,10030243,16,310000,-1
34204.769303272,4,12644416,200,310000,-1
34204.769303272,4,12687322,1100,310000,-1
34204.769303272,4,12921845,150,310000,-1
34204.769303272,4,12991178,100,310000,-1
34204.769303272,4,16119145,100,310000,-1
34204.769303272,4,16160020,5334,310000,-1
34204.773492555,4,16160020,1266,310000,-1
34204.773492555,4,16248287,100,310000,-1
34204.773492555,4,16484332,8,310000,-1
34204.773492555,4,16603416,499,310000,-1
34204.773492555,4,16613317,69,310000,-1
34204.986876707,4,16613317,506,310000,-1
34204.986976791,1,16712588,3000,309900,1
34204.986998546,1,16712590,100,309900,1
34204.988424913,1,16712705,2200,310000,1
34204.988442207,1,16712706,100,310000,1
34204.988495857,1,16712712,3000,310000,1
34204.988518837,1,16712714,100,310000,1
34204.98866388,3,16712712,3000,310000,1
34204.988672382,3,16712714,100,310000,1
34204.993717561,4,1379744,199,310100,-1
34204.993717561,4,16119035,100,310100,-1
34204.993717561,4,16299435,100,310100,-1
34204.993717561,4,16319638,100,310100,-1
34204.993798893,1,16713156,2200,310000,1
34204.993829538,1,16713161,100,310000,1
34204.994696877,3,16332196,300,310200,-1
34205.01367396,1,16715119,100,310000,1
34205.021350896,1,16715829,100,310100,1
34205.021453915,1,16715842,2200,310100,1
34205.026113119,4,1507949,700,310200,-1
34205.032207827,4,1507949,1300,310200,-1
34205.032283474,1,16716812,100,310200,1
34205.032297208,1,16716814,2200,310200,1
34205.032304229,1,16716817,100,310200,1
34205.032400454,3,16716817,100,310200,1
34205.032461107,3,16364382,300,310300,-1
34205.033755176,1,16716943,100,310300,-1
34205.033833496,1,16716957,100,310300,-1
34205.036730702,4,16716943,100,310300,-1
34205.036730702,4,16716957,100,310300,-1
34205.036832214,1,16717232,100,310200,1
34205.047939979,4,16717232,100,310200,1
34205.047939979,4,16716812,100,310200,1
34205.047939979,4,16716814,500,310200,1
34205.051497673,4,16716814,200,310200,1
34205.052122998,4,16716814,200,310200,1
34205.06606664,4,16716814,300,310200,1
34205.067637736,4,16716814,300,310200,1
34205.069080969,4,16716814,500,310200,1
34205.071328602,4,16716814,200,310200,1
34205.071421345,1,16720518,3000,310200,-1
34205.071458371,1,16720521,100,310200,-1
34205.071493097,1,16720527,100,310200,-1
34205.07155734,1,16720532,100,310200,-1
34205.071594399,1,16720537,100,310200,-1
34205.071671334,3,16720537,100,310200,-1
34205.071693654,3,16720532,100,310200,-1
34205.07633184,4,16720518,198,310200,-1
34205.125999274,4,16715842,30,310100,1
34205.155318993,3,16720518,2802,310200,-1
34205.187323321,3,16720521,100,310200,-1
34205.208371674,4,16715842,500,310100,1
34205.248226517,4,16715842,42,310100,1
34205.271635913,4,16715842,1628,310100,1
34205.271695838,1,16742252,900,310100,-1
34205.271731127,1,16742253,2200,310100,-1
34205.271755398,1,16742257,500,310100,-1
34205.271783433,1,16742258,2200,310100,-1
34205.271825558,1,16742263,3000,310100,-1
34205.271944928,3,16742258,2200,310100,-1
34205.271966407,3,16742263,3000,310100,-1
34205.275054023,1,16742592,300,310000,1
34205.275575767,1,16742645,400,310100,-1
34205.279020005,3,16742257,500,310100,-1
34205.280082665,3,16742645,400,310100,-1
34205.282471472,4,16712705,72,310000,1
34205.294394997,3,16712705,2128,310000,1
34205.354213668,3,16742253,2200,310100,-1
34205.408232602,3,16742252,900,310100,-1
34205.621648998,4,16715119,100,310000,1
34205.621648998,4,16717696,1031,310000,1
34205.765216584,4,16720527,100,310200,-1
34205.765382656,1,16779113,2200,310100,1
34205.765416028,1,16779142,100,310100,1
34205.76541978,1,16779146,2200,310100,1
34205.765449373,1,16779170,100,310100,1
34205.765587681,3,16779170,100,310100,1
34205.765588129,3,16779146,2200,310100,1
34205.777338256,1,16782889,100,310300,-1
34205.777477507,1,16782915,100,310300,-1
34205.7792572,1,16783171,1200,310300,-1
34205.781744912,3,16783171,1200,310300,-1
34205.781881001,3,16782889,100,310300,-1
34205.784474045,1,16783675,100,310300,-1
34205.78612191,3,16783675,100,310300,-1
34205.788216721,1,16783976,100,310300,-1
34205.78890798,1,16784021,1200,310300,-1
34205.789806933,1,16784101,100,310300,-1
34205.790304204,1,16784143,1200,310300,-1
34205.847363273,3,16779113,2200,310100,1
34206.02025492,3,16779142,100,310100,1
34206.144423535,1,16810689,100,310200,-1
34206.144485134,1,16810691,100,310200,-1
34206.144884271,3,16810691,100,310200,-1
34206.147513311,1,16810810,100,310200,-1
34206.274364456,4,16742592,300,310000,1
34206.274454856,1,16817264,2200,310100,-1
34206.27448255,1,16817270,100,310100,-1
34206.274519372,1,16817276,300,310100,-1
34206.274526308,1,16817278,3000,310100,-1
34206.274569057,1,16817284,100,310100,-1
34206.274620531,3,16817278,3000,310100,-1
34206.27463565,3,16797700,200,309900,1
34206.274647682,3,16817284,100,310100,-1
34206.274682655,1,16817298,300,310100,-1
34206.275077856,1,16817327,100,310100,-1
34206.278525277,1,16817502,2200,310000,-1
34206.278554359,1,16817504,100,310000,-1
34206.278590639,1,16817506,100,310000,-1
34206.279392902,1,16817547,100,310000,-1
34206.283405187,4,16817502,900,310000,-1
34206.285443052,3,16817506,100,310000,-1
34206.286153477,4,16721961,300,309900,1
34206.286153477,4,16722218,60,309900,1
34206.28621676,1,16817876,200,310000,-1
34206.286247262,1,16817878,100,309900,-1
34206.286295667,1,16817881,100,309900,-1
34206.286336335,1,16817885,2200,309900,-1
34206.28634156,1,16817886,100,309900,-1
34206.286391174,3,16817881,100,309900,-1
34206.286966685,1,16817923,200,309900,-1
34206.28700766,1,16817925,100,309900,-1
34206.288596454,3,16817923,200,309900,-1
34206.289284309,1,16818050,1100,309900,-1
34206.289531607,4,16516308,100,309800,1
34206.289591334,1,16818066,300,309900,-1
34206.290941836,3,16818066,300,309900,-1
34206.291812849,3,16817925,100,309900,-1
34206.291961671,1,16818184,100,309900,-1
34206.292123285,3,16818184,100,309900,-1
34206.292135713,1,16818190,2200,309800,-1
34206.292151513,1,16818191,100,309800,-1
34206.292195864,1,16818196,100,309800,-1
34206.292231702,1,16818197,100,309800,-1
34206.292276841,1,16818202,100,309800,-1
34206.292303409,3,16818197,100,309800,-1
34206.292437044,4,16594947,100,309700,1
34206.292575365,1,16818222,200,309800,-1
34206.294260355,3,16818222,200,309800,-1
34206.295997635,1,16818455,200,309700,-1
34206.296052676,1,16818461,100,309700,-1
34206.296125518,4,16818455,200,309700,-1
34206.296151772,4,16818461,100,309700,-1
